Student_ID,Basic_Arithmetic,Geometry_Understanding,Word_Problems,Advanced_Math_Concepts,Vocabulary_Knowledge,Passage_Understanding,Inferential_Thinking,Teamwork_Ability,Communication_Skills,Emotional_Recognition,Attendance_Rate,Participation_Score,Focus_Levels,Frequent_Interruptions,Consistent_Assignment_Completion,Age,Gender,Grade_Level,Socio_Economic_Status,Learning_Style,Study_Hours_Per_Week,Access_to_Technology,Extracurricular_Participation,Sleep_Hours_Per_Night,Stress_Level,Tutoring_Sessions_Per_Week,Parental_Involvement
1,71.24397128330227,63.2574836374026,68.21691042458694,69.35744970708832,85.98508771145826,69.11434887861115,80.80799496151518,76.30754115650566,68.86360104493859,54.67097997109402,86.02285048924387,66.5399911288916,33.26914397297136,34.649417530757965,55.489693902528664,18,Female,12th,High,Visual,6,Yes,5,8.8,4,2,4.2
2,52.25829989305434,65.33620476294941,68.53037089326398,59.60544492271664,71.41450654735249,50.81052148079696,44.031660086258924,47.89348304954812,76.61261027090728,72.6640630925236,69.62934011477046,44.64131340287334,42.622040502418834,40.74551177173735,65.13800117964607,15,Female,10th,High,Auditory,13,Yes,1,6.3,3,0,3.5
3,70.2467498282614,47.990298828972044,71.04743947160163,70.79039852524514,51.01522562082666,51.77216766570021,76.34038645368463,82.21019468561002,91.40846165977486,67.80949621066524,84.16835206910037,64.75090206473172,63.32686477100667,31.625688486663208,59.692889453433395,14,Male,9th,Low,Kinesthetic,7,Yes,3,9,9,0,7.6
4,74.30833172231559,70.50688882183448,59.51759742931253,47.392966722894855,87.43052163478286,76.64552446207762,56.47424700318123,88.88741178813486,81.22469925375776,94.23369295524354,97.3407608747948,75.62840466819601,73.31179172958981,14.9289475103964,82.11980433372293,17,Male,12th,Medium,Visual,12,Yes,1,7.4,1,0,8.9
5,96.18337523208285,98.18787009120217,88.01175992200587,88.78387381897981,47.7326960088567,61.98493291993218,68.47953543417383,77.03523902756895,63.943286659962254,55.41351371939828,99.30926871602423,81.80915582387064,62.92416522354347,29.187132536396525,78.54063142035636,18,Male,12th,High,Auditory,6,Yes,1,8.5,3,2,8.1
6,78.20601080225298,53.562690869648186,75.20352624086196,88.78318202872644,71.6904523565274,80.68921284175225,54.141108407879386,66.16149908026252,78.64834417612731,75.61250341094272,81.49913502391428,85.19217711388178,65.66081959535894,9.4777717956627,61.359625479176245,16,Female,11th,Medium,Visual,13,Yes,2,8.6,2,2,6.1
7,65.59062781293055,75.38935285201386,68.98116744284778,69.3628120803098,79.59005377787825,84.7105482886294,65.56016733274961,74.48018093819101,52.4676264085773,65.99327594087828,82.0927944208961,62.09652604209467,20.456206522546285,41.30188764529937,58.57062936830778,16,Male,11th,Medium,Visual,13,Yes,2,7.2,5,1,9.8
8,80.9116353925724,72.0391394193298,71.8516769243661,62.31392029636371,78.41814262065988,84.88705081129879,72.06203257545529,63.562270388479305,75.09724460483285,92.88284306031068,98.07998235570267,82.73766491036548,80.2467323481835,29.088297231870442,77.90206828771491,15,Female,10th,Medium,Visual,13,Yes,4,6.3,3,1,7.1
9,72.53801326650208,53.65509402651328,78.56923010899318,53.08442491673469,94.1677335378821,51.48951104311813,60.36012757033985,83.25379862759243,75.10132546878664,59.10518961485,78.98588700336404,45.36242120362106,39.61783774788172,57.179135124455016,56.71677040471096,15,Female,10th,Low,Auditory,12,Yes,2,4.6,7,0,6.5
10,62.81874279681086,67.46615019513176,44.07227782502721,61.67486213727612,60.9188732129692,63.341402513782285,83.68717272505357,73.27958177965236,72.65424951607511,78.72793003562187,90.48667849740013,43.42353664984723,63.26376230042314,26.70522388375482,64.26439729231717,14,Male,9th,Medium,Auditory,7,Yes,0,5.5,6,1,6.7
11,97.51950304502267,84.12927535197298,83.45731540189296,78.69658560590612,61.454575969260226,67.26443980863522,60.313485755756446,63.652517350910905,64.71158447071686,74.7069596873393,85.74123395141214,80.10373933434215,76.95907202525689,19.58047903215736,74.27447397526014,17,Female,12th,Medium,Visual,14,Yes,2,7.4,6,2,6.3
12,71.55218868792612,62.092982914231115,95.50548665100402,43.49746103914795,30.82771187556578,59.372151172915395,82.45150004948246,85.8533975228936,76.81656190540195,74.0489066201644,72.43098639184609,82.7950290977515,54.296366294432374,36.26315858458886,82.7226677946852,18,Female,12th,High,Auditory,7,Yes,2,8.2,5,1,4.2
13,74.25227022944593,73.49661376075288,100,75.13355024665066,93.06854737126645,70.49194684068382,78.47586558365678,88.02739122909466,87.40030836164638,71.9549099239133,97.53841431578621,85.96553161073335,70.4492171367414,20.34361496191918,92.24875476901327,15,Non-binary,10th,Low,Visual,10,Yes,0,5.3,3,2,9.1
14,74.05925925271336,69.04109081904704,84.12273037265219,44.36274288553706,85.76970644832839,62.69039509617447,57.37501650427052,81.95567484441173,71.1688092964263,72.03624899615934,84.52259250334464,43.636207319409756,61.45603511782274,55.46628847111547,69.35288948907682,14,Non-binary,9th,Medium,Visual,6,No,1,6.9,2,1,7.5
15,82.1517840711106,81.00609901169204,42.72984921687751,84.6541564495823,65.15012403437674,72.30616830631202,67.04842199116423,78.71964954078744,66.51527551044389,75.18503765888248,86.9603010546416,71.37499038567353,71.83436175241788,21.72920083977624,77.43944151426348,17,Male,12th,Medium,Auditory,12,Yes,1,5.2,4,1,4.3
16,60.00136974970492,81.69698006736596,55.17088250256749,64.63239877258803,76.33478025601782,72.10360474039696,70.9248379294321,80.89775675469923,76.90751717132738,81.46798971424099,99.43923012120649,83.73004655804915,67.72315935104469,25.102253542625164,83.14057663506262,16,Male,11th,Medium,Auditory,10,Yes,0,8.5,4,0,6.4
17,88.28214696036986,71.45582052988934,79.84126552034225,79.68290044675302,79.14773270855635,64.25605447815616,86.26881214194677,66.19043260705988,68.94215832350248,84.04050267714172,98.04363556671888,76.97737005643373,44.661404048613406,28.317292411893938,67.4051085649105,16,Prefer not to say,11th,Medium,Kinesthetic,7,Yes,3,7.2,4,0,3
18,72.47090762782074,81.43215988918534,68.97043612177366,49.50790941484942,72.37503584410784,80.51259288639164,69.44542054924158,64.62323132595152,68.50382315094667,65.90085590549585,90.13995453715324,49.29248929458036,62.25180196782215,29.207882907414117,74.0263073248692,17,Male,12th,Medium,Visual,18,Yes,0,5.9,5,1,2.3
19,77.16152541801233,80.58958197275905,74.26157254931725,58.753462356897074,62.65200748078719,68.68197206958818,73.10016986578952,59.60319647297958,68.15691131157617,79.67267260167914,89.13773511070758,70.53326870125288,38.49784998542498,7.770093503256291,99.3800304736905,17,Female,12th,High,Auditory,10,Yes,0,8,6,1,8.9
20,94.70632554576632,88.49474649274232,69.06549611410766,81.5235253175302,70.70353336707738,58.577918351469506,68.67901060440282,75.62611271402568,54.009145485397696,69.55948422552235,97.73371126386337,86.6525338994626,68.58855723093153,21.957214108418878,78.98879572444858,15,Male,10th,High,Kinesthetic,5,Yes,3,6.4,2,2,1.4
21,67.26751893188074,62.37560264261496,82.04167283929716,47.039547464518826,84.93092905690219,86.91321988980715,63.01377640931251,90.11593598320427,100,87.21392259029196,97.0137677306775,86.06060493643218,76.56468108658775,25.368880840661852,95.35197483467661,14,Female,9th,High,Kinesthetic,10,Yes,0,6.8,7,0,6.5
22,83.31133038391741,87.39767492977414,82.79105734222416,66.68986842493058,92.29056869750838,83.38185187750872,73.05916954511709,81.11277422323643,72.42782244776319,81.37715543215053,97.8239724074956,85.80863321116223,85.3298928682648,22.933676695463127,88.4912666806681,18,Male,12th,Medium,Auditory,9,Yes,4,6,4,0,5.4
23,80.63601596262721,87.61264151809678,73.3482726633886,65.61912346161502,82.56321851453288,78.44174417330407,90.960031951768,90.38603090683868,85.57733401931804,67.93794145970656,97.55205650697462,78.54857614727251,71.84403588825609,16.492607898573436,82.71177284643807,16,Female,11th,Medium,Kinesthetic,4,Yes,3,9.1,7,0,1.5
24,87.18852636578,97.58901524469638,72.51345063121443,91.90321873509902,66.20607089269511,65.39518012399937,75.44849935671971,61.95392955548162,76.08556091755784,56.969208385214486,96.8270789354574,80.04126254591608,53.44083474916329,24.36425696587169,70.2924081197969,16,Non-binary,11th,Low,Auditory,5,Yes,3,9.2,1,0,1.1
25,89.44944713150818,96.59910861543162,93.59209808225592,74.6718364030351,79.73335726179265,69.87145901479121,86.32308275110583,83.3141265544658,79.74605659711139,68.70379365873353,96.91089580068365,91.79554753926291,96.10904824148011,20.276499730281305,96.02698223803301,15,Female,10th,Medium,Auditory,3,Yes,2,8.4,6,0,7.7
26,33.80573263305233,46.721904334457335,56.164333693938524,41.148422832861954,62.69061941575285,37.41275268086964,66.42273311967888,49.08952638372315,49.44607268080097,58.19572716925105,66.98209512629546,52.13828226101628,26.871167837567267,49.411658067241675,62.047056982090055,18,Male,12th,Low,Kinesthetic,13,Yes,0,6.1,4,0,3.7
27,55.23802512341548,48.34341142877526,90.86717434493147,49.82245281872344,51.4442834608196,73.33259362753653,68.10230256060896,61.46165664277402,50.570435864180496,63.83697482841394,96.818276157137,61.371988374732126,44.70564265543253,42.26401218928312,75.484328670222,18,Male,12th,Medium,Visual,6,No,3,5.5,3,3,6.1
28,76.32567022144507,57.85918416205998,71.23841943194451,60.562831379448596,70.65903232871553,78.283512146811,59.851392771109985,81.23276424762392,71.73953093642072,64.65219115259846,95.91650292277336,66.0877901173463,18.23763529764053,49.80625599875217,56.71825729603203,15,Female,10th,Medium,Kinesthetic,16,Yes,1,5.7,1,1,5.2
29,85.20253012164429,76.4617843852317,80.45957524495171,69.81078993930551,78.63648434157753,83.80514528314538,89.66248015455633,69.71604945250935,47.50948909667595,70.31526004593992,91.6286631533876,72.98513610239571,45.70937779742492,36.67540578652392,75.87238539277232,18,Male,12th,Low,Auditory,7,No,0,9.4,5,1,2.4
